127.0.0.1 - - [11/Nov/2021:20:15:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:16:07 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:16:09 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:16:33 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:16:43 +0900] "GET /project-oneyo/mealkit/list.jsp HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:16:45 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:17:06 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:20:17 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:20:17 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:20:17 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:20:17 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:23:22 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:23:57 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:24:10 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:24:39 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:02 +0900] "GET /project-oneyo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:02 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:11 +0900] "GET /project-oneyo/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:13 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:36 +0900] "GET /project-oneyo/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:25:37 +0900] "GET /mealkit/list HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:26:11 +0900] "GET /project-oneyo/ HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:26:11 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/view'%3E%3C/c:url%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:27:05 +0900] "GET /project-oneyo/ HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:27:07 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:30:02 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:30:04 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:31:19 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:31:19 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:32:34 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:32:35 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:32:43 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:32:46 +0900] "GET /project-oneyo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:32:46 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:35:31 +0900] "GET /project-oneyo/ HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:35:32 +0900] "GET /project-oneyo/%3Cc:url%20value='/mealkit/list'%20/%3E HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:36:33 +0900] "GET /project-oneyo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:36:33 +0900] "GET /project-oneyo/user/list HTTP/1.1" 500 1564
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:15 +0900] "GET /project-oneyo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:15 +0900] "GET /project-oneyo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:16 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:21 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:25 +0900] "GET /project-oneyo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2021:20:38:25 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 1651
